row_label,Number of cases / Total,Number of cases / Identification of complainant or petitioner / A F L affiliates,Number of cases / Identification of complainant or petitioner / C I O affiliates,Number of cases / Identification of complainant or petitioner / Unaffiliated unions,Number of cases / Identification of complainant or petitioner / Individuals,Number of cases / Employers
All cases,,,,,,
"Cases pending July 1, 1951",6375,2790,1592,574,1128,291
"Cases received July 1, 1951-June 30, 1952",17697,8849,4613,1250,2056,929
"Cases on docket July 1, 1951-June 30, 1952",24072,11639,6205,1824,3184,1220
"Cases closed July 1, 1951-June 30, 1952",18721,9317,4850,1472,2135,947
"Cases pending June 30, 1952",5351,2322,1355,352,1049,273
Unfair labor practice cases,,,,,,
"Cases pending July 1, 1951",3001,883,685,211,1049,173
"Cases received July 1, 1951-June 30, 1952",5454,1823,1159,365,1653,454
"Cases on docket July 1, 1951-June 30, 1952",8455,2706,1844,576,2702,627
"Cases closed July 1, 1951-June 30, 1952",5387,1682,1092,406,1743,464
"Cases pending June 30, 1952",3068,1024,752,170,959,163
Representation cases,,,,,,
"Cases pending July 1, 1951",2436,1357,643,240,78,118
"Cases received July 1, 1951-June 30, 1952",10447,6113,2737,734,388,475
"Cases on docket July 1, 1951-June 30, 1952",12883,7470,3380,974,466,593
"Cases closed July 1, 1951-June 30, 1952",10603,6172,2777,792,379,483
"Cases pending June 30, 1952",2280,1298,603,182,87,110
Union-shop authorization cases,,,,,,
"Cases pending July 1, 1951",938,550,264,123,1,
"Cases received July 1, 1951-June 30, 1952",1796,913,717,151,15,
"Cases on docket July 1, 1951-June 30, 1952",2734,1463,981,274,16,
"Cases closed July 1, 1951-June 30, 1952",2731,1463,981,274,13,
"Cases pending June 30, 1952",3,,,,,
