Type of election,All R elections / Elections conducted / Total elections,All R elections / Elections conducted / Withdrawn or dismissed before certification,All R elections / Elections conducted / Resulting in a rerun or runoff,All R elections / Elections conducted / Resulting in certification or decertification,RC elections / Elections conducted / Total elections,RC elections / Elections conducted / Withdrawn or dismissed before certification,RC elections / Elections conducted / Resulting in a rerun or runoff,RC elections / Elections conducted / Resulting in certification or decertification,RM elections / Elections conducted / Total elections,RM elections / Elections conducted / Withdrawn or dismissed before certification,RM elections / Elections conducted / Resulting in a rerun or runoff,RM elections / Elections conducted / Resulting in certification or decertification,RD elections / Elections conducted / Total elections,RD elections / Elections conducted / Withdrawn or dismissed before certification,RD elections / Elections conducted / Resulting in a rerun or runoff,RD elections / Elections conducted / Resulting in certification or decertification
All types,8437,66,297,8074,7774,63,285,7426,356,3,6,347,307,0,6,301
Rerun required,,,206,,,,199,,,,5,,,,0,
Runoff required,,,91,,,,86,,,,1,,,,6,
Consent elections,2217,13,58,2146,1988,12,52,1924,126,1,4,121,103,0,2,101
Rerun required,,,36,,,,32,,,,2,,,,2,
Runoff required,,,22,,,,20,,,,2,,,,0,
Stipulated elections,4512,29,145,4337,4227,27,141,4055,153,2,1,150,138,0,4,132
Rerun required,,,111,,,,106,,,,1,,,,4,
Runoff required,,,34,,,,35,,,,0,,,,0,
Regional director-directed,1572,24,81,1467,1451,24,80,1347,45,0,1,44,66,0,0,66
Rerun required,,,50,,,,50,,,,0,,,,0,
Runoff required,,,31,,,,30,,,,1,,,,0,
Board-directed,105,0,11,94,99,0,11,88,4,0,0,4,2,0,0,2
Expedited—Sec. 8(b)(7)(C),31,0,2,29,,,,,28,0,0,28,,,,
