row_label,Total elections,Percent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO unions,Elections won by unions / Other national unions,Elections in which representative chosen / Other local unions,Employees eligible to vote / Total,Employees eligible to vote / In elections lost,In elections won by unions / AFL-CIO unions,In elections won by unions / Other national unions,In elections won by unions / Other local unions,In elections where no representative chosen
Total RC elections,2738,44.7,1302,1139,47,116,1436,191929,69890,59538,3275,122040
C. Elections in RM cases,,,,,,,,,,,,
AFL-CIO,46,28.3,13,13,,,33,1888,754,,,1134
Total RM elections,54,33.3,18,16,1,1,36,2133,934,833,16,1199
D. Elections in RD cases,,,,,,,,,,,,
AFL-CIO,441,30.4,134,134,,,307,21041,9320,,,11721
