Stage,Median days
I. Unfair labor practice cases:,
A. Major stages completed-,
1. Filing of charge to issuance of complaint,86
2. Complaint to close of hearing,184
3. Close of hearing to issuance of administrative law judge's decision,112
4. Receipt of briefs or submissions to issuance of administrative law judge's decision,60
5. Administrative law judge's decision to issuance of Board decision,193
6. Originating document to Board decision,126
7. Assignment to Board's decision,79
8. Filing of charge to issuance of Board decision,557
"B. Age of cases pending administrative law judge's decision, September 30, 1997.",
1. From filing of charge,471
2. From close of hearing,95
"C. Age of cases pending Board decision, September 30, 1997.",
1. From filing of charge,929
2. From originating document,274
3. From assignment,229
II. Representation cases:,
A. Major stages completed-,
1. Filing of petition of notice of hearing issued,2
2. Notice of hearing to close of hearing,13
3. Close of hearing to Regional Director's decision issued,20
4. Close of pre-election hearing to Board's decision issued,102
5. Close of post-election hearing to Board's decision issued,171
6. Filing of petition to-,
a. Board decision issued,248
b. Regional Director's decision issued,40
7. Originating document to Board decision,107
8. Assignment to Board's decision,68
"B. Age of cases pending Board decision, September 30, 1997.",
1. From filing of petition,370
2. From originating document,198
3. From assignment,134
"C. Age of cases pending Regional Director's decision, September 30, 1997",118
