row_label,Method and stage of disposition,All C cases / Number,All C cases / Percent of total closed/method,CA cases / Number,CA cases / Percent of total closed/method,CB cases / Number,CB cases / Percent of total closed/method,CC cases / Number,CC cases / Percent of total closed/method,CD cases / Number,CD cases / Percent of total closed/method,CE cases / Number,CE cases / Percent of total closed/method,CP cases / Number,CP cases / Percent of total closed/method
By circuit court of appeals decree,348,1.7,3.0,281,2.2,33,.8,24,1.6,4,.7,2,2.4,4,.8
By Supreme Court decision,52,.3,.5,42,.3,8,.2,1,.1,1,.2,0,0,0,0
Withdrawal,7172,36.1,100.0,4738,36.9,1715,39.7,502,33.7,1,.1,13,15.7,203,43.2
Before issuance of complaint,6980,35.2,97.3,4616,36.0,1689,39,475,31.9,(1),,13,15.7,196,41.7
"After issuance of complaint, before opening of hearing",144,.7,2.0,108,.8,27,.6,8,.5,,,0,0,6,1.3
"After hearing opened, before examiner's decision",38,.2,.5,8,.1,12,.3,8,.5,,,0,0,,
"After examiner's decision, before Board decision",6,,.1,4,,1,,,,,,0,0,1,.2
After Board decision,4,,.1,2,,2,,,,,,0,0,0,0
Dismissal,6170,31.1,100.0,4063,31.7,1707,39.5,242,16.2,,,54,65.0,111,23.6
Before issuance of complaint,5945,29.9,94.6,3834,29.9,1687,38.3,236,15.1,(1),,22,26.5,109,23.2
"After issuance of complaint, before opening of hearing",11,.1,.2,7,.1,1,,3,.2,,,0,0,0,0
"After hearing opened, before examiner's decision",3,,,,,2,,1,.1,,,0,0,0,0
By trial examiner's decision,2,,,0,0,1,,1,.1,,,0,0,0,0
By Board decision,209,1.1,3.7,173,1.3,40,1.0,14,.9,,,0,0,,
Adopting trial examiner's decision (no exceptions filed),66,.3,1.1,57,.4,8,.2,1,.1,,,0,0,0,0
Contested,143,.8,2.6,116,.9,33,.7,13,.9,,,0,0,,
By circuit court of appeals decree,13,.1,1.3,13,.1,0,0,0,0,,,0,0,32,38.5
By Supreme Court decision,1,,.1,1,,0,0,0,0,,,0,0,0,0
10(k) actions (see table 7A for details of disposition),664,3.4,,,,,,,,,,664,96.7,,
Otherwise (compliance with order of trial examiner or Board not achieved—firms went out of business),7,,.1,7,.1,,,,,,,,,,
