Case No.,Union and company,Date petition for injunction filed,Type of petition,Temporary restraining order / Date issued,Temporary restraining order / Date lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and order
14-CD-29,"AFL-Bridge, Structural Iron Workers Local 396 (Bechtel Corp)","Oct. 12, 1953",10 (l),"Oct. 12, 1953 (consent)","Oct. 16, 1955",,,,"Oct. 19, 1953"
16-CC-22,"AFL-Teamsters, Local 968 (Red Ball Motor Freight)","Feb. 24, 1954",10 (l) (TC),,,"May 4, 1954",,"Mar. 5, 1955","May 25, 1955"
14-CC-56,"AFL-Meat Cutters, Local 88 (Swift & Co)","Apr. 20, 1954",10 (l) (TC),,,"Oct. 22, 1955",,"Oct. 22, 1953","July 25, 1955"
20-CA-063,Pacific Telephone & Telegraph Co (Order of Repeatermen and Toll Testboard),"June 16, 1954",10 (j),,,"Feb. 7, 1955",,,
"Additional case rows present (3-CC-40, 3-CD-19, 2-CC-77, 16-CC-44, 16-CC-94, 8-CC-29, 3-CC-122, 21-CC-100, 16-CC-49, 13-CD-37, 2-CC-324, 2-CC-77, 17-CC-26)",,,,,,,,,
