row_label,Amount
Salaries,3408508
Travel,470015
Transportation of things,11367
Communication services,98176
Penalty mail costs,11610
Rents and utility services,174743
Printing and binding,158636
Other contractual services,58907
Supplies and materials,35223
Equipment,19465
Grand total obligations and expenditures for salaries and expenses,4436650
