row_label,Objections filed,Objections withdrawn,Objections Ruled upon,Overruled — Number,Overruled — Percent of total ruled upon,Sustained — Number,Sustained — Percent of total ruled upon
All representation elections,1281,225,1056,848,80.3,208,19.7
By case type — RC cases,1161,209,952,759,79.7,193,20.3
By case type — RM cases,20,2,18,16,88.9,2,11.1
By case type — RD cases,100,14,86,73,84.9,13,15.1
By election type — Consent elections,29,5,24,17,70.8,7,29.2
By election type — Stipulated elections,914,171,743,598,80.5,145,19.5
By election type — Expedited elections,5,0,5,4,80.0,1,20.0
By election type — Regional director-directed elections,322,49,273,225,82.4,48,17.6
By election type — Board-directed elections,11,0,11,4,36.4,7,63.6
