Item,Count
Total Board decisions,1371
Contested decisions,948
Unfair labor practice decisions,657
Initial (includes those based on stipulated record),558
Supplemental,35
Backpay,40
Determinations in jurisdictional disputes,24
Representation decisions,275
After transfer by Regional Directors for initial decision,3
