Type of litigation,Total all courts — Number of proceedings,Total all courts — Court determinations Upholding Board Position,Total all courts — Court determinations Contrary to Board Position,Total all courts — Non-ruling court actions,In courts of appeals — Number of proceedings,In courts of appeals — Court determinations Upholding Board Position,In courts of appeals — Court determinations Contrary to Board Position,In courts of appeals — Non-ruling court actions,In district courts — Number of proceedings,In district courts — Court determinations Upholding Board Position,In district courts — Court determinations Contrary to Board Position,In district courts — Non-ruling court actions,In bankruptcy courts — Number of proceedings,In bankruptcy courts — Court determinations Upholding Board Position,In bankruptcy courts — Court determinations Contrary to Board Position,In bankruptcy courts — Non-ruling court actions
Totals — all types,21,17,4,0,9,6,3,0,12,11,1,0,0,0,0,0
NLRB-initiated actions or intervention,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Action by other parties,4,3,1,0,4,3,1,0,0,0,0,0,0,0,0,0
Other,15,12,3,0,3,1,2,0,12,11,1,0,0,0,0,0
