Case No.,Union and company,Date petition for injunction filed,Type of petition,Temp. restraining order — Date issued,Temp. restraining order — Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed,Date Board decision and order
"2-CA-2554, 2607","Henry Heide, Inc. (CIO-Retail & Wholesale Employees, Local 30)","Mar 12, 1953",10 (l),,,"Oct. 24, 1953",,,"Nov. 19, 1954"
17-CC-18,"AFL-Teamsters, Locals 554, 608 (McAllister Transfer)","Mar 18, 1953",10 (l),,,"Apr 22, 1953",,,"Feb 18, 1954"
13-CC-37,"AFL-Plumbers, Local 834 (Construction Trades Council and Local 16 et al. (John A. Piszczak d/b/a Stover Steel Service))","Apr 28, 1953",10 (l),,,"June 24, 1954",,,"Nov. 23, 1953"
"14-CC-44, 45","AFL-Teamsters, Locals 600, 632 and 688 (Pneola Foods Inc. and Atkins Pickle Co.)","Apr 30, 1953",10 (l),,,"Sept. 13, 1954",,,"Nov. 25, 1953"
13-CC-67,"AFL-Teamsters, Local 200 (Reilly Cartage)","May 6, 1953",10 (l),,,"June 10, 1953",,,
"13-CC-31, 32","AFL-Teamsters, Local 42 (Jay-K-Independent Lumber Corp.)",,10 (l),,,"Jan. 26, 1953",,,"Oct. 5, 1954"
13-CC-57,"AFL-Plumbers, Local 100 et al. (Columbus-Southern Chemical Corp.)","July 16, 1953",10 (l),,,,,,"Oct. 5, 1954"
13-CC-60,"AFL-Painters, Local 1730 (Painting & Decorating Contractors of America)","Aug 5, 1953",10 (l),,,,,,"Sept. 2, 1954"
8-CC-30,"AFL-Teamsters, Local 193 and District 50 (Lone Star Steel Co.)","Oct 7, 1953",10 (l),,,,,,"Aug. 4, 1954"
14-CD-10,Genesee Foundry Co. (CIO-Steel Workers),"Oct 27, 1953",10 (l),,,,,,"May 26, 1954"
14-CD-19,"AFL-Plumbers, Local 633 (M.E. Fitterman Co.)",,10 (l),,,,,,Withdrawn
"21-CC-168, 169","AFL-Teamsters, Local 87 and Chemical Workers, Local 482 (Camp & Felton Compress Co.)",,10 (l),,,,,,Settled.
13-CC-122,"AFL-Teamsters, Local 200 (Lincoln Park Welding Co.)","Jan 13, 1954",10 (l),,,"Mar 24, 1954",,,Withdrawn
39-CC-10,"AFL-Teamsters, Local 968 (Otis Massey, Ltd.)","Feb 12, 1954",10 (l),,,"Feb 16, 1954",,,"Mar 30, 1955"
13-CC-134,"AFL-Teamsters, Local 668 et al. (Red Ball Motor Freight)","Feb 18, 1954",10 (l),,,,,,"Jan. 25, 1955"
23-CC-279,"International Longshoremen's Assn. and Locals 791, 824, 838, 842, 985, 1290, and 1258 (New York Shipping Assn.)","Feb 23, 1954",10 (l),"May 4, 1954","Nov 10, 1954",,,,"May 9, 1955"
