Division and State,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Pacific,,,,,,,,,,,,,,,,
Washington,1097,795,534,187,71,6,2,0,0,260,132,32,105,12,14,16
Oregon,482,354,266,64,19,0,2,1,2,110,40,23,47,7,7,4
California,5588,4558,2795,1418,205,20,18,30,64,848,546,193,209,36,5,73
Alaska,131,109,77,25,6,1,0,0,0,4,4,0,0,3,1,14
Hawaii,297,232,155,64,8,1,0,4,0,57,47,3,7,1,0,1
Guam,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Pacific (subtotal),7596,6055,3818,1758,309,36,22,9,77,1295,778,254,363,61,16,95
Puerto Rico,327,254,197,23,11,5,0,0,0,68,47,2,19,0,0,5
Virgin Islands,26,17,10,7,0,0,0,0,0,8,8,0,1,0,0,0
Outlying areas (subtotal),353,271,207,59,2,0,0,0,0,77,55,2,20,1,0,5
"Total, All States and areas",39639,32043,22475,7791,1136,295,45,28,274,6994,5036,542,1416,186,43,373
