Type of action,FY1992 — Total proceedings,FY1992 — Vs. employers only,FY1992 — Vs. unions only,FY1992 — Vs. both employers and unions,FY1992 — Board dismissed,FY1992 — Vs. employers only — Percentage,FY1992 — Vs. unions only — Percentage,FY1992 — Vs. both employers and unions — Percentage,FY1992 — Board dismissed — Percentage,"July 3, 1935-Sept. 30, 1992 — Number","July 3, 1935-Sept. 30, 1992 — Percent"
Proceedings decided by U.S. courts of appeals,180,149,28,1,2,,,,,10338,
On petitions for review and/or enforcement,161,133,25,1,2,100.0,,,,,100.0
On petitions for review and/or enforcement — Board orders affirmed in full,118,98,20,0,0,73.3,,,,6794,65.7
On petitions for review and/or enforcement — Board orders affirmed with modification,12,11,1,0,0,7.5,,,,1415,13.7
On petitions for review and/or enforcement — Remanded to Board,8,5,3,0,0,5.0,,,,506,4.9
On petitions for review and/or enforcement — Board orders partially affirmed and partially remanded,5,4,1,0,0,3.1,,,,209,2.0
On petitions for review and/or enforcement — Board orders set aside,18,15,0,1,2,11.3,,,,1415,13.7
On petitions for contempt,19,16,3,0,0,100.0,,,,,
Proceedings decided by U.S. Supreme Court,1,1,0,0,0,100.0,,,,251,100.0
