Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections — AFL-CIO unions,Number of elections — Other national unions,Number of elections — Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO unions,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Eligible employees who chose no representation — Total,Eligible employees who chose no representation — Total votes for no union
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,2,2,2,0,0,0,269,187,101,101,0,0,0,8
West North Central — Total,58,22,22,0,0,36,3457,3012,1384,1238,0,0,1628,1391
South Atlantic — Total,23,11,10,1,0,12,1440,1332,749,749,0,0,583,815
East South Central — Total,15,5,5,0,0,10,849,775,376,376,0,0,399,306
West South Central — Total,25,9,9,0,0,16,2050,1891,1049,993,0,56,842,1560
