row_label,Stage of disposition,All R cases Number,All R cases Percent,RC cases Number,RC cases Percent,RM cases Number,RM cases Percent,RD cases Number,RD cases Percent,UD cases Number,UD cases Percent
Total number of cases closed,Total number of cases closed,13542,100.0,11436,100.0,948,100.0,1158,100.0,192,100.0
Before issuance of notice of hearing,Before issuance of notice of hearing,5373,39.7,4148,38.3,572,60.3,653,56.4,123,64.0
After issuance of notice before close of hearing,After issuance of notice before close of hearing,5532,48.2,5225,45.7,278,29.3,349,30.1,8,4.2
After hearing closed before issuance of decision,After hearing closed before issuance of decision,96,0.7,85,0.7,4,0,7,0.6,0,0
After issuance of regional director's decision,After issuance of regional director's decision,2079,15.4,1856,16.2,83,8.8,140,12.1,61,31.8
After issuance of Board decision,After issuance of Board decision,142,1.0,122,1.1,11,1.1,9,0.8,0,0
