Case-letter section / Stage,Total,A.F. of L. affiliates,C.I.O. affiliates,Unaffiliated unions,Individuals,Employers
"C CASES — Cases pending Aug. 22, 1947",2093,716,1006,184,187,
"C CASES — Cases closed Aug. 22, 1947-June 30, 1948",1402,477,658,144,123,
"C CASES — Cases pending June 30, 1948",691,239,348,40,64,
"CA CASES — Cases received Aug. 22, 1947-June 30, 1948",2553,852,348,194,1159,
"CA CASES — Cases closed Aug. 22, 1947-June 30, 1948",1165,483,108,77,497,
"CA CASES — Cases pending June 30, 1948",1388,369,240,117,662,
"CB CASES — Cases received Aug. 22, 1947-June 30, 1948",438,15,3,16,234,170
"CB CASES — Cases closed Aug. 22, 1947-June 30, 1948",221,9,2,6,123,81
"CB CASES — Cases pending June 30, 1948",217,6,1,10,111,89
"CC CASES — Cases received Aug. 22, 1947-June 30, 1948",243,2,0,1,23,217
"CC CASES — Cases closed Aug. 22, 1947-June 30, 1948",160,2,0,1,21,136
"CC CASES — Cases pending June 30, 1948",83,0,0,0,2,81
"CD CASES — Cases received Aug. 22, 1947-June 30, 1948",68,2,0,3,14,49
"CD CASES — Cases closed Aug. 22, 1947-June 30, 1948",49,2,0,3,13,33
"CD CASES — Cases pending June 30, 1948",19,0,0,0,1,16
