row_label,Cases in which formal actions taken,Formal actions taken by type of case — AC,Formal actions taken by type of case — UC
Hearings completed,115,8,85
Decisions issued after hearing,129,10,96
By regional directors,127,9,95
By Board,2,1,1
Transferred by regional directors for initial decision,2,1,1
Review of regional directors' decisions: Requests for review received,12,1,7
Withdrawn before request ruled upon,0,0,0
"Board action on requests ruled upon, total",12,1,7
Board action — Granted,2,1,1
Board action — Denied,9,0,5
Board action — Remanded,1,0,1
"Withdrawn after request granted, before Board review",0,0,0
"Board decision after review, total",0,0,0
Board decision — Regional directors' decisions: Affirmed,0,0,0
Board decision — Regional directors' decisions: Modified,0,0,0
Board decision — Regional directors' decisions: Reversed,0,0,0
