row_label,Section / Subsection,Total proceedings,"Injunction proceedings — Pending in district court Oct 1, 1982",Injunction proceedings — Filed in district court fiscal year 1983,Total dispositions,Disposition of injunctions — Granted,Disposition of injunctions — Denied,Disposition of injunctions — Settled,Disposition of injunctions — Withdrawn,Disposition of injunctions — Dismissed,Disposition of injunctions — Inactive,"Pending in district court Sept 30, 1983"
Under Sec 10(e) Total,6,6,0,6,6,4,0,0,0,0,0,0
Under Sec 10(j) Total,39,0,39,39,14,6,18,2,0,0,0,
Under Sec 10(l) Total,71,0,71,69,27,10,26,6,0,0,0,2
