Size of unit (number of employees),Number eligible to vote,Total elections / Total elec-tions,Percent of total,Cumulative percent of total / Cumu-lative percent of total,Elections in which representation rights were won by / AFL-CIO unions / Number,Elections in which representation rights were won by / AFL-CIO unions / Percent by size class,Elections in which representation rights were won by / Teamsters / Number,Elections in which representation rights were won by / Teamsters / Percent by size class,Elections in which representation rights were won by / Other national unions / Number,Elections in which representation rights were won by / Other national unions / Percent by size class,Elections in which representation rights were won by / Other local unions / Number,Elections in which representation rights were won by / Other local unions / Percent by size class,Elections in which no representative was chosen / Number,Elections in which no representative was chosen / Percent by size class
B. Decertification Elections (RD),,,,,,,,,,,,,,
Total RD elections,45406,856,100.0,,159,100.0,36,100.0,8,100.0,12,100.0,641,100.0
Under 10,1222,223,26.0,26.0,17,10.7,1,2.8,,,,12.5,203,31.7
10 to 19,2744,193,22.5,48.5,26,16.3,11,30.5,1,12.5,,,153,23.0
500 to 799,5112,9,1.0,99.6,,,,,,,,,,
800 and over,3348,4,0.4,100.0,,,,,,,,,,
