row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Food and kindred products,186,80,77,1,2,106,"21,114 1,224","18,252 1,121",10189,8817,79,1293,8063,12313
Textile mill products,15,5,5,0,0,10,,,421,400,o,21,700,262
Apparel and other finished products made from fabric and similar materials,3,1,1,0,o,2,567,521,146,146,o,0,375,110
Lumber and wood products (except furniture),33,12,12,0,0,21,3820,3456,1456,1427,o,29,2000,683
Furniture and futures,23,6,5,o,I,17,1991,1815,744,728,o,16,1071,209
Paper and allied products,33,10,9,o,1,23,2568,2370,906,866,13,27,1464,609
"Printing, publishing, and allied products",58,25,18,o,7,33,4526,3995,1493,1301,20,172,2502,834
Chemicals and allied products,68,25,23,0,2,43,3721,3444,1415,1343,27,45,2029,908
Petroleum refining and related industries,20,9,9,0,0,11,952,882,494,360,0,134,388,446
Rubber and miscellaneous plastic products,41,12,11,0,1,29,6428,5881,2898,1644,396,858,2983,1892
Leather and leather products,3,o,o,o,o,3,133,122,42,42,o,0,80,0
"Stone, clay, glass, and concrete products",71,31,30,1,0,40,3496,3161,1340,1299,ao,1,1821,1001
Primary metal industries,79,36,35,0,1,43,6397,5926,2728,2709,9,10,3198,1744
Fabricated metal products (except machinery and transportation equipment),89,33,31,1,1,56,8368,7608,3318,3165,60,93,4290,2383
Machinery (except electrical),100,32,27,2,3,68,7421,6922,3401,2721,91,589,3521,2500
"Electrical and electronic machinery, equipment, and supplies",32,15,15,0,0,17,3590,3273,1491,1491,0,0,1782,1377
Aircraft and parts,62,24,21,1,2,38,10598,9544,4450,3618,32,800,5094,3725
Ship and boat building and repairing,6,2,2,0,o,4,893,833,341,341,0,o,492,39
Automotive and other transportation equipment,18,9,9,0,o,9,1216,1113,536,535,0,1,577,188
"Measuring, analyzing, and controlling instruments; photographic, medical, and optical goods; watches and clocks",18,4,3,1,o,14,770,740,285,213,66,6,455,85
Miscellaneous manufacturing industries,19,8,8,0,0,11,2393,2233,1122,1121,1,0,"1, 111 ,",844
Manufacturing,977,379,351,7,21,598,92186,83212,39216,34287,834,4095,43996,32152
