row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Ieanngs completed, total",288,276,246,10,20,2
Initial hearings,202,194,169,8,17,2
Heanngs on objections and/or challenges,86,82,77,2,3,0
")ecislons issued, total_",607,570,501,21,48,4 _
BY regional directors,576,543,477,20,46,4
Elections directed,514,487,428,17,42,3
Dismissals on record_,62,56,49,3,4,1
,,27,24,,,0
By Board,31,,,1,2,
Transferred by regional directors for initial decision,16,13,12,1,0,0
Elections directed,13,10,9,1,0,0
Dismissals on record,3,3,,--0,0,0
Review of regional directors' decisions Requests foi review received,167,152,144,2,6,1
Withdrawn before request ruled upon_ _ _,3,1,1,0,0,0
"Board action on request ruled upon, total_",151,142,134,2,6,1
Granted,18,18,17,i,o,0
Denied,131,122,116,1,5,1
Remanded,2,2,1,0,1,0
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
"Board decison after review, total",15,14,12 6,0 0,2,0 0
Regional directors' decision Affirmed Reversed,6,6,4,0,2,
Modified,7 2,6 2,2,0,,
,,,,,0 0,0
Outcome Election directed,12 3,11,11,0,,0
Dismissals on,,,,,0,0
iecord,,3,1,0,2,0
