row_label,Division and State,All cases,Unfair labor practice cases / All C,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
"Pacific (Washington, Oregon, California, Alaska, Hawaii)",,,,,,,,,,,,,,,,,
"Outlying areas (Puerto Rico, Virgin Islands)",,,,,,,,,,,,,,,,,
"Total, All States and Areas",40861,,,,,,,,,,,,,,,,
