Division and State,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Amendment-of-certification cases,Unit-clarification cases,Union-deauthorization cases (UD)
New England Division — subtotal,2539,2167,1703,403,39,13,4,0,7,306,229,10,57,1,7,28
Middle Atlantic Division — subtotal,9032,7575,5160,2040,216,88,13,0,20,1237,1017,40,180,8,62,150
East North Central Division — subtotal,8947,7508,5448,1711,211,51,6,0,8,1265,1070,23,172,9,54,75
West North Central Division — subtotal,2316,1919,1463,433,56,12,1,0,0,344,289,6,29,3,9,18
New York,4341,3553,2365,1181,114,33,9,0,5,591,490,20,81,5,32,70
Pennsylvania,2711,2277,1690,464,,,,,,,,,,,,
