Division and State,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Vermont,48,38,34,4,0,0,0,0,0,10,8,0,2,0,0,0
New England,1776,1490,1180,259,35,7,1,3,5,257,223,1,33,6,2,21
Puerto Rico,323,255,208,42,4,0,1,0,0,61,51,2,8,1,0,6
Virgin Islands,33,15,13,2,0,0,0,0,0,17,16,1,0,0,0,1
Outlying Areas,356,270,221,44,4,0,1,0,0,78,67,3,8,1,0,6
Pacific,5545,4600,3566,930,58,22,5,1,18,896,717,55,124,19,2,28
South Atlantic,3868,3147,2551,555,23,5,2,0,11,698,523,7,168,1,7,15
