Industrial group,Total elec- tions,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL- CIO unions,Number of elections in which representation rights were won by unions / Other na- tional unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elec- tions in which no rep- resen- tative was chosen,Number of em- ployees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL- CIO unions,Valid votes cast for unions / Other na- tional unions,Valid votes cast for unions / Other local unions,Total votes for no union,Total elig- ible employ- ees in no rep- resenta- tive chosen
Metal mining,3,3,0,0,3,0,396,373,143,143,0,0,232,393
Mining (group total),24,11,8,0,3,13,1714,1577,653,597,133,14,944,464
Construction (group total),112,58,55,0,3,54,9019,7343,3673,3449,29,195,3672,3624
"Transportation, communication, and other utilities (group total)",624,303,283,4,16,321,33730,29162,14159,13040,400,493,15023,14449
"Hotels, rooming houses, camps, and other lodging places",88,33,28,2,0,55,9538,8013,3700,3529,87,84,4313,4292
