Action taken,Total all,Remedial action taken by — Employer — Total,Remedial action taken by — Employer — Pursuant to: Agreement of parties — Informal settlement,Remedial action taken by — Employer — Pursuant to: Agreement of parties — Formal settlement,Remedial action taken by — Employer — Pursuant to: Recommendation of administrative law judge,Remedial action taken by — Employer — Order of Board,Remedial action taken by — Employer — Order of Court,Remedial action taken by — Union — Total,Remedial action taken by — Union — Pursuant to: Agreement of parties — Informal settlement,Remedial action taken by — Union — Pursuant to: Agreement of parties — Formal settlement,Remedial action taken by — Union — Pursuant to: Recommendation of administrative law judge,Remedial action taken by — Union — Order of Board,Remedial action taken by — Union — Order of Court
,10281,,,,,,,,,,,,
Notice posted,3237,2293,1613,92,8,391,187,944,663,141,0,94,46
Recognition or other assistance withdrawn,51,31,28,0,1,2,0,20,18,1,0,1,0
Employer-dominated union disestablished,4,4,4,0,0,0,0,0,0,0,0,0,0
Employees offered reinstatement,2137,2137,1545,99,8,313,112,,,,,,
Employees placed on preferential hiring list,134,134,124,0,0,8,2,,,,,,
Hiring hall rights restored,881,881,644,42,4,124,67,239,166,43,3,17,10
"Employees offered reinstatement, total",4179,4179,3601,94,0,314,210,,,,,,
Accepted,2789,2789,2315,39,0,229,206,,,,,,
Declined,1390,1390,1286,55,0,85,4,,,,,,
Employees placed on preferential hiring list,249,249,196,2,0,39,12,,,,,,
