Participating unions,Total valid votes cast,Valid votes cast in elections won — Total votes for unions,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total votes for no union (won),Valid votes cast in elections lost — Total votes for unions,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total votes for no union (lost)
1-union elections — AFL-CIO,268548,59560,59560,,,,28393,61266,61266,,,,116629
1-union elections — Teamsters,48491,16884,,16884,,,7107,14164,,14164,,,29808
1-union elections — Other national unions,41930,10889,,,10889,,6708,9152,,,9152,,27839
1-union elections — Other local unions,33759,4445,,,,4445,5260,2852,,,,2852,22440
1-union elections — Total,392728,91778,59560,16884,10889,4445,47468,87134,61266,14164,9152,2852,165453
2-union elections — AFL-CIO v Teamsters,18623,12907,6302,7022,,,743,1441,600,881,,,3452
2-union elections — Total,100624,84672,42547,9680,6152,25983,3309,7924,4799,962,1712,211,13922
