Division and State,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Teamsters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of representative chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no union,Eligible employees not voting
New England (subtotal),441,235,114,78,28,15,190,34000,21716,13012,6083,2527,2290,301,8704,13244
New England per-state,,,,,,,,,,,,,,,,
Middle Atlantic (subtotal),1254,705,353,215,77,60,549,78478,70962,42146,23655,6758,5747,5986,28716,39931
Middle Atlantic per-state,,,,,,,,,,,,,,,,
East North Central (subtotal),1835,1001,488,329,152,63,834,153822,136055,85930,42961,8427,16199,18343,50125,84291
East North Central per-state,,,,,,,,,,,,,,,,
West North Central (subtotal),622,341,208,107,21,5,281,55533,48372,34567,20097,3408,1688,9374,13805,37519
West North Central per-state,,,,,,,,,,,,,,,,
