row_label,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC,Unit clarification cases / UC,Unit clarification cases / UC
Louisiana,249,215,156,57,0,0,0,0,2,33,27,1,5,0,0,1,0,0
New Mexico,119,96,81,15,0,0,0,0,0,20,19,0,1,0,0,3,0,0
Oklahoma,204,167,132,35,0,0,0,0,0,35,29,2,4,0,0,2,0,0
Texas,1096,983,751,208,21,1,0,0,2,85,73,3,9,0,1,17,0,10
Region VII,1862,1626,1220,404,2,0,0,0,4,183,152,8,23,0,1,23,0,10
Iowa,175,135,114,21,0,0,0,0,0,38,25,1,12,0,0,1,0,1
Kansas,143,119,93,27,1,0,0,0,0,24,16,0,8,0,0,0,0,0
Missouri,647,548,378,140,14,9,0,0,1,93,65,7,21,0,0,6,0,0
Nebraska,67,53,40,13,0,0,0,0,0,15,8,0,7,0,0,0,0,0
Region VIII,1032,853,625,197,15,9,0,0,1,170,117,8,45,0,0,5,0,1
Colorado,469,417,344,73,0,0,0,0,0,52,37,1,14,0,0,0,0,0
Montana,98,62,45,17,0,0,0,0,0,32,19,0,13,0,0,4,0,0
North Dakota,25,20,18,2,0,0,0,0,0,5,4,0,1,0,0,0,0,0
South Dakota,16,13,11,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0
Utah,87,74,50,20,4,0,0,0,0,13,9,0,4,0,0,0,0,0
Wyoming,43,33,27,6,0,0,0,0,0,6,5,0,1,0,0,0,0,0
Region IX,738,627,515,105,7,0,0,0,0,111,77,1,33,0,0,0,0,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,305,266,203,60,0,0,0,0,3,39,29,1,9,0,0,0,0,0
California,3422,2964,2146,743,42,7,5,16,23,423,331,14,76,19,0,16,0,0
Federated States of Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Hawaii,333,282,218,52,6,0,0,0,6,51,32,2,17,0,0,0,0,0
Republic of the Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,634,588,511,66,4,1,0,0,6,46,39,1,6,0,0,0,0,0
Region IX (continued),4695,4100,3083,916,59,8,5,12,5,558,432,18,108,19,0,16,0,0
Alaska,104,71,56,12,1,2,0,0,0,27,22,0,5,0,0,6,0,0
Idaho,75,59,50,9,0,0,0,0,0,14,10,0,4,0,1,1,0,0
Oregon,381,326,232,85,1,0,0,0,8,47,34,5,7,1,0,7,0,0
Washington,869,659,499,148,9,1,0,0,2,106,82,4,20,1,0,12,0,0
Region X,1316,979,746,210,16,2,0,0,1,175,136,13,26,0,0,13,0,0
"Total, all States and areas",29826,24724,18301,5819,360,104,41,32,71,4850,3994,99,757,104,8,144,8,11
