row_label,col_1,col_2
8(b)(4)(C)..............................................................,17,3.8
8(b)(4)(D)..............................................................,109,24.2
B2. Analysis of 8(b)(7),B2. Analysis of 8(b)(7),
Total cases 8(b)(7)................................................,67,100.0
8(b)(7)(A)..............................................................,12,17.9
8(b)(7)(B)..............................................................,4,6.0
8(b)(7)(C)..............................................................,48,71.6
8(b)(7)(A)(B)........................................................,1,1.5
8(b)(7)(A)(C)........................................................,2,3.0
1,1,
8(b)(7)(A)..............................................................,15,22.4
8(b)(7)(B)..............................................................,5,7.5
8(b)(7)(C)..............................................................,50,74.6
C. Charges filed under Sec. 8(e),C. Charges filed under Sec. 8(e),
Total cases 8(e)....................................................,32,100.0
Against unions alone............................................,25,78.1
Against employers alone......................................,5,15.6
Against both..........................................................,2,6.3
D. Charges filed Sec. 8(g),D. Charges filed Sec. 8(g),
Total cases 8(g)....................................................,32,100.0
1 A single case may include allegations of violations of more,than one subsection of the,"Therefore, the total of the"
