Stage and method of disposition,All C cases / Number of cases closed,All C cases / Percent of cases closed,CA cases / Number of cases closed,CA cases / Percent of cases closed,CB cases / Number of cases closed,CB cases / Percent of cases closed,CC cases / Number of cases closed,CC cases / Percent of cases closed,CD cases / Number of cases closed,CD cases / Percent of cases closed,CE cases / Number of cases closed,CE cases / Percent of cases closed,CP cases / Number of cases closed,CP cases / Percent of cases closed
Total number of cases closed,12116,100.0,8117,100.0,2856,100.0,887,100.0,229,100.0,34,100.0,,92.9
Before issuance of complaint,10902,89.9,6793,83.7,2856,100.0,668,75.3,209,91.3,23,67.6,253,92.9
Adjusted,1488,12.3,1073,13.2,267,9.4,118,13.3,23,10.0,5,14.7,2,7.4
Withdrawn,4892,40.4,3278,40.4,1278,44.7,229,25.8,76,33.2,13,38.2,20,74.1
Dismissed,4522,37.3,2442,30.1,1311,45.9,321,36.2,110,48.0,5,14.7,11,40.7
"After issuance of complaint, before opening of hearing",955,7.9,725,8.9,258,10.1,155,17.5,2,0.9,,,15,5.5
Adjusted,497,4.2,375,4.6,97,3.4,,,1,0.4,,,,
Compliance with stipulated decision,1,,1,,,,,,,,,,,
Compliance with consent decree,335,2.8,183,2.3,37,1.3,120,13.5,1,0.4,,,,
Withdrawn,98,0.8,55,0.7,23,0.8,16,1.8,,,,,4,1.5
Dismissed,24,0.2,,,,,,,,,,,,
"After hearing opened, before issuance of intermediate report",147,1.2,100,1.2,31,1.4,10,1.1,2,0.9,,,,
"After intermediate report, before issuance of Board decision",124,1.1,103,1.3,10,0.4,12,1.4,5,2.2,,,,
After Board order adopting intermediate report in absence of exceptions,93,0.8,77,0.9,8,0.3,5,0.6,1,0.4,2,5.9,,
