Division and State,Number of polls / Total,Number of polls / Affiliation of union authorized to negotiate union-shop — A F L,Number of polls / Affiliation of union authorized to negotiate union-shop — C I O,Number of polls / Affiliation of union authorized to negotiate union-shop — Unaffiliated unions,Number of polls / Union-shop rejected,Employees eligible to vote,Number of valid votes cast / Total,Number of valid votes cast / In favor of union-shop by affiliation of petitioning union — A F L,Number of valid votes cast / In favor of union-shop by affiliation of petitioning union — C I O,Number of valid votes cast / In favor of union-shop by affiliation of petitioning union — Unaffiliated unions,Number of valid votes cast / Against union-shop
New England,3874,2415,691,432,85,556460,479562,172813,208366,38734,30131
Maine,200,165,21,8,6,32649,27532,17166,16170,3232,2281
New Hampshire,164,57,63,10,0,32609,27343,7128,13026,4068,3123
Vermont,103,61,11,11,2,8082,6961,5001,1083,467,1047
Massachusetts,2355,1624,493,236,30,390640,330300,108055,165724,25374,21060
Rhode Island,350,165,165,21,0,61830,53074,13690,27394,3011,1042
Connecticut,602,353,178,138,16,94424,80392,25873,39605,7834,7090
Middle Atlantic,11015,7070,2336,1409,200,1917308,1626919,631730,656624,197367,141329
New York,5449,3812,960,601,76,802834,698103,374774,191107,62665,62135
New Jersey,1829,820,445,517,47,327860,276151,78479,81491,85498,30683
Pennsylvania,3278,1938,931,412,77,786614,682665,178477,184026,203663,55499
East North Central,12062,6990,2947,1938,311,2440402,2000193,569933,1094004,302693,63419
Ohio,3292,1926,802,464,98,647827,539449,144333,278949,82996,33170
Indiana,1551,1022,301,184,44,361547,292927,70572,181704,32442,8209
Illinois,3387,2194,623,457,113,454964,388108,150295,157938,63602,16463
Michigan,2441,961,1107,338,35,639500,514108,78767,378941,39581,16879
Wisconsin,1411,925,284,245,21,297158,245601,94070,100946,33793,8728
West North Central,6005,4449,557,828,194,381347,326852,161156,88807,39486,19338
South Atlantic,1347,1014,167,143,43,226187,187124,86696,73856,12967,13705
Delaware,65,40,13,6,6,6432,5151,1712,2873,404,162
Maryland,579,455,72,41,11,117829,97943,42587,39455,4693,5892
District of Columbia,377,353,11,11,2,11539,9621,7924,884,287,576
