row_label,col_1,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
All cases,,,,,,,
"Pending October 1, 1993",27433,14770,1132,1210,8539,1782,
Received fiscal 1994,40861,21057,1021,1532,15321,1930,
On docket fiscal 1994,68294,35827,2153,2742,23860,3712,
Closed fiscal 1994,38551,19282,959,1380,14858,2072,
"Pending September 30, 1994",29743,16545,1194,1362,9002,1640,
Unfair labor practice cases,,,,,,,
"Pending October 1, 1993",24526,12845,1031,1029,8063,1558,
Received fiscal 1994,34782,16972,821,1171,14207,1611,
On docket fiscal 1994,59308,29817,1852,2200,22270,3169,
Closed fiscal 1994,32346,15047,747,1023,13773,1756,
"Pending September 30, 1994",26962,14770,1105,1177,8497,1413,
Representation cases,,,,,,,
"Pending October 1, 1993",2659,1849,96,163,423,128,
Received fiscal 1994,5634,3920,186,331,1024,173,
On docket fiscal 1994,8293,5769,282,494,1447,301,
Closed fiscal 1994,5802,4073,200,328,1000,201,
"Pending September 30, 1994",2491,1696,82,166,447,100,
Union-shop deauthorization cases,,,,,,,
"Pending October 1, 1993",53,,,,53,,
Received fiscal 1994,90,,,,90,,
On docket fiscal 1994,143,,,,143,,
Closed fiscal 1994,85,,,,85,,
"Pending September 30, 1994",58,,,,58,,
Amendment of certification cases,,,,,,,
"Pending October 1, 1993",9,4,,3,,1,1
Received fiscal 1994,14,9,2,2,,1,
On docket fiscal 1994,23,13,2,3,5,0,2
Closed fiscal 1994,10,6,3,1,,,
"Pending September 30, 1994",13,7,,1,4,0,2
Unit clarification cases,,,,,,,
"Pending October 1, 1993",186,72,4,15,,95,
Received fiscal 1994,341,156,12,28,,145,
On docket fiscal 1994,527,228,16,43,,240,
Closed fiscal 1994,308,156,9,28,,115,
"Pending September 30, 1994",219,72,7,15,,125,
