row_label,col_1,col_2,col_3,col_4,col_5,col_6
M t' s. a .r A g 8115144,M t' s. a .r A g 8115144,"i . ,4ii° .-.",& .,77 1 q-,,ri .
1 3 .1 MO,1 3 .1 MO,"g -o, PVQ°",g 4,P I,1,n d
,Imj sas,"51A""'",,,,
,h..aM 8111,L;r4F1° N °,". ° 7 . ,",00,°,g e:L I
,li,"AlgR""",R,r,§,iT.: N
,41 R,mu°,:41,P,5,F.. G
,1,"Dspgr 2..7""",G (71,'m g '1,n 'I,g g
m11 1,m11 1,8p§M° : . .te4 -,8 R,"N8 . ,7,",A 5,4 g
lilt! rd TA 2,lilt! rd TA 2,Mgr vn en -..-. .,g. N .,A= N,R N,R C% N
PAS.4.Alg Man/E4,PAS.4.Alg Man/E4,"PQN.1"" e",5r:,:- ..',R,g .
,Vs,"0,0.000",R,2 -,=,s
,AM,crnm000,c,cc,0,G
,. mi,",,..',,,...",g,NOi...,,
,K421 i,"0 ""P.""",§,,,E S
,L) 1,slny . -2 0,g,"n ,..",n,E .
,'ill H z.,nriutn o,E,"4""",V,8 :1
,1 5 I a,"§ . , NM",C) m,ii am a,1 r,gl 1 i I 1
