Union affiliation,Elections participated in / Total,Elections participated in / Won,Elections participated in / Percent won,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / Employees in units selecting bargaining agent / Number,Employees involved (number eligible to vote) / Employees in units selecting bargaining agent / Percent of total eligible,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for the union / Number,Valid votes cast / Cast for the union / Percent of total cast
Total,4946,3230,65.3,462712,291292,63.0,414568,89.6,268531,64.8
AFL,1720,986,57.3,135607,63092,46.5,121760,89.8,61691,50.7
AFL-CIO,2316,1430,61.7,224527,114498,51.0,201078,89.6,109704,54.6
CIO,854,486,56.9,124117,60119,48.4,111526,89.9,56379,50.6
Unaffiliated,539,328,60.9,84554,53673,63.5,74814,88.5,40757,54.5
