row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Connecticut,708,615,453,148,7,4,0,1,2,83,65,7,11,5,0,5
Maine,130,110,88,18,4,0,0,0,0,15,11,1,3,1,0,4
Massachusetts,1278,1088,843,184,30,23,2,2,4,175,133,7,35,2,0,13
New Hampshire,77,61,50,8,3,0,0,0,0,11,7,0,4,2,0,3
Rhode Island,152,119,81,27,4,3,0,3,1,31,22,1,8,1,0,1
Vermont,55,50,41,8,1,0,0,0,0,5,4,0,1,0,0,0
Region I,2400,2043,1556,393,49,30,2,6,7,320,242,16,62,11,0,26
Delaware,87,66,36,10,18,2,0,0,0,19,13,0,6,2,0,0
New Jersey,1461,1119,790,217,62,34,4,2,10,308,247,11,50,23,1,10
New York,3767,3025,1844,1044,84,16,12,1,24,693,582,26,85,14,0,35
Puerto Rico,409,320,204,101,6,0,0,6,3,44,62,2,20,1,0,4
Virgin Islands,19,10,9,1,0,0,0,0,0,9,8,0,1,0,0,0
Region 11,5743,4540,2883,1373,170,52,16,9,37,1113,912,39,162,40,1,49
District of Columbia,206,157,III,41,3,0,0,1,1,44,40,1,3,0,0,5
Maryland,843,711,429,267,9,3,1,0,2,125,105,3,17,5,0,2
Pennsylvania,2798,2307,1717,441,87,36,2,2,22,460,359,13,88,11,3,17
Virginia,462,386,305,76,3,1,0,0,1,70,56,4,10,0,0,6
West Virginia,734,683,530,105,30,3,0,0,15,50,33,7,10,0,1,0
Region III,5043,4244,3092,930,132,43,3,3,41,749,593,28,128,16,4,30
Alabama,368,289,219,67,3,0,0,0,0,78,63,1,14,0,0,1
Florida,952,807,,,,,,,,,,,21,,1,1
Georgia,644,550,643,138,19,3,1,0,3,143,121,1,17,0,0,1
Kentucky,671,580,395 470,143 82,3 23,8 0,1 0,0 0,0 5,93 83,75 62,1 3,18,0 1,1,6
Mississippi,201,164,,,,0,0,,,,,,,,0,0
,,,122,42,0,,,0,0,37,33,0,4,0,,1
North Carolina,395,339,265,73,1,0,0,0,0,55,43,0,12,0,0,
