Types of formal actions taken,Cases in which formal actions taken,Total formal actions taken,CA,CB,CC,CD jurisdictional dispute,CD unfair labor practice,CE,CP,CA combined with CB,C combined with representation cases,Other C combinations
10(k) notices of hearings issued,134,108,,,,108,,,,,,
Complaints issued,2757,2147,1474,250,147,,7,5,21,87,111,34
Backpay specifications issued,74,45,31,4,10,,,,,,,
"Hearings completed, total",1511,1101,712,135,48,57,3,4,12,32,80,13
"Decisions by trial examiners, total",1281,934,647,115,43,,2,5,9,33,73,10
"Decisions and orders by the Board, total",1627,1167,764,113,76,47,5,4,27,37,88,24
,various,,,,,,,,,,,
