Industrial group,Elections — Number,Elections — Percent,Winner — A. F. of L. — Number,Winner — A. F. of L. — Percent,Winner — C. I. O. — Number,Winner — C. I. O. — Percent,Winner — Unaffiliated — Number,Winner — Unaffiliated — Percent,Winner — No union — Number,Winner — No union — Percent,Eligible voters — Number,Eligible voters — Percent,Valid votes cast — Number,Valid votes cast — Percent
Total,15074,100.0,10448,69.3,1979,13.1,2154,14.3,493,3.3,1733922,100.0,1471092,100.0
Manufacturing — total,9330,62.0,6170,66.1,1771,19.0,1156,12.4,233,2.5,1397115,80.0,1192055,81.0
Manufacturing — Food and kindred products,2425,16.1,1897,78.2,295,12.2,100,4.1,133,5.5,204771,11.8,182069,12.4
Manufacturing — Tobacco manufactures,25,.2,22,88.0,1,4.0,1,4.0,1,4.0,5002,.3,4902,.3
Manufacturing — Textile-mill products,303,2.0,129,42.6,118,38.9,55,18.2,1,.3,72345,4.2,61989,4.2
Manufacturing — Apparel and other finished products,234,1.6,103,44.0,63,26.9,62,26.5,6,2.6,79608,4.6,61718,4.2
Manufacturing — Lumber and wood products,569,3.8,471,82.8,29,5.1,61,10.7,8,1.4,37610,2.2,32251,2.2
Manufacturing — Furniture and fixtures,224,1.5,75,33.5,67,29.9,78,34.8,4,1.8,24894,1.4,20896,1.4
Manufacturing — Paper and allied products,292,1.9,210,71.9,67,22.9,10,3.4,5,1.7,68463,3.9,56734,3.9
"Manufacturing — Printing, publishing, and allied industries",326,2.2,210,64.4,11,3.4,94,28.8,11,3.4,30718,1.8,26724,1.8
Manufacturing — Chemicals and allied products,375,2.5,203,54.1,70,18.7,85,22.7,17,4.5,31259,1.8,26015,1.8
Manufacturing — Products of petroleum and coal,126,.8,59,46.8,20,15.9,33,26.2,14,11.1,10393,.6,12989,
Manufacturing — Rubber products,70,.5,13,18.6,53,75.7,4,5.7,0,0,16255,.9,13989,1.0
Manufacturing — Leather and leather products,241,1.6,148,61.4,50,20.7,31,12.9,12,5.0,47016,2.7,41725,2.8
"Manufacturing — Stone, clay, and glass products",393,2.6,281,71.5,59,15.0,47,12.0,6,1.5,,,59565,
Manufacturing — Primary metal industries,702,4.7,442,63.0,144,20.5,104,14.8,12,1.7,,,,
Manufacturing — Fabricated metal industries,893,5.9,584,65.4,188,21.0,98,11.0,23,2.6,,,,
Manufacturing — Machinery (except electrical),242,1.6,152,62.8,44,18.2,34,14.0,11,4.5,,,,
Transportation equipment,238,1.6,122,51.3,55,23.1,55,23.1,6,2.5,,,,
"Agriculture, forestry, and fishing",5,(2),4,80.0,0,0,1,20.0,0,0,,,,
