row_label,Number of proceedings / Total,Number of proceedings / Vs. unions only,Number of proceedings / Vs. employers only,Number of proceedings / Vs. both unions and employers,Number of proceedings / Board orders only,Number of proceedings / Vs. employer only,Fiscal year 1987 Percentage / Total,Fiscal year 1987 Percentage / Vs. unions only,Fiscal year 1987 Percentage / Vs. employers only,Fiscal year 1987 Percentage / Vs. both unions and employers,Fiscal year 1987 Percentage / Board orders only,"July 5, 1935 - Sept. 30, 1987 / Number","July 5, 1935 - Sept. 30, 1987 / Percent"
Proceedings decided by U.S. courts of appeals,226,182,38,0,6,,100.0,100.0,100.0,,100.0,9492,100.0
On petitions for review and/or enforcement,199,164,29,0,6,,100.0,100.0,100.0,,100.0,,
Board orders affirmed in full,158,133,22,0,3,,81.1,73.9,,,50.0,6148,64.6
Board orders affirmed with modification,16,9,5,0,1,,4.5,3.5,,,16.6,1365,14.4
Remanded to Board,9,8,1,0,0,,4.7,,,,0.0,179,1.9
Board orders partially affirmed and partially remanded,11,9,1,0,1,,5.5,5.4,,,16.7,1333,14.0
Board orders set aside,,,,,,,,,,,,,
On petitions for contempt,27,18,9,0,0,,100.0,100.0,100.0,,,,
"Compliance after filing of petition, before court order",,,,,,,0.0,0.0,0.0,,,,
Court orders holding respondent in contempt,23,14,9,0,0,,77.8,100.0,,,,,
Court orders directing compliance without contempt adjudication,2,2,0,0,0,,11.1,,0.0,,,,
Contempt petitions withdrawn without compliance,2,2,0,0,0,,11.1,,0.0,,,,
Proceedings decided by U.S. Supreme Court,2,1,1,0,0,,100.0,100.0,100.0,,,245,100.0
Board orders affirmed in full,2,1,1,0,0,,100.0,100.0,100.0,,,147,60.0
Board orders affirmed with modification,,,,,,,,,,,,18,7.4
Remanded to Board,,,,,,,,,,,,19,7.8
Board orders set aside,,,,,,,,,,,,16,6.5
Board orders partially affirmed and partially remanded,,,,,,,,,,,,,
Contempt cases reviewed,,,,,,,,,,,,,
