Stage and method of disposition,All C cases / Number of cases,All C cases / Percent of cases closed,CA cases / Number of cases,CA cases / Percent of cases closed,CB cases / Number of cases,CB cases / Percent of cases closed,CC cases / Number of cases,CC cases / Percent of cases closed,CD cases / Number of cases,CD cases / Percent of cases closed
After Board order adopting intermediate report in absence of exceptions,44,.8,35,.8,7,.8,2,1.2,,
Compliance,17,.3,13,.3,3,.3,1,.6,,
Dismissed,27,.5,13,.3,4,.5,1,.6,,
"After Board decision, before court decree",205,3.4,165,3.5,29,3.3,8,4.8,,
Compliance,126,2.1,97,2.1,21,2.4,5,3.0,,
Withdrawn,1,(10),1,(10),,,,,,
Dismissed,76,1.3,65,1.4,8,.9,3,1.8,,
Otherwise,2,(10),2,(10),0,0,0,0,,
After Board order adopting intermediate report followed by circuit court decree. Compliance,6,.1,1,(10),,,,,,
"After circuit court decree, before Supreme Court action",155,2.7,117,2.5,21,2.4,4,2.3,,
Compliance,113,2.0,88,1.9,14,1.6,4,2.3,,
Withdrawn,1,(10),1,(10),0,0,0,0,,
Dismissed,38,.7,26,.6,7,.8,0,0,,
Otherwise,3,.1,2,(10),0,0,0,0,,
After Supreme Court denied writ of certiorari,16,.2,8,.1,3,.4,,,,
Compliance,14,.2,6,.1,3,.4,,,,
Dismissed,2,(10),2,(10),0,0,0,0,,
After Supreme Court opinion,8,.1,8,.1,0,0,0,0,,
Compliance,7,.1,7,.1,0,0,0,0,,
Dismissed,1,(10),1,(10),0,0,0,0,,
