Industrial group,Elections — Number,Elections — Percent,Winner — A. F. of L. — Number,Winner — A. F. of L. — Percent,Winner — C. I. O. — Number,Winner — C. I. O. — Percent,Winner — Unaffiliated — Number,Winner — Unaffiliated — Percent,Winner — No union — Number,Winner — No union — Percent,Eligible voters — Number,Eligible voters — Percent,Valid votes cast — Number,Valid votes cast — Percent
Mining — total,83,1.5,36,43.4,10,12.0,11,13.3,26,31.3,10820,1.8,8308,1.6
Mining — Metal mining,19,.4,4,21.0,10,52.6,0,0,5,26.4,5604,1.0,4494,.9
Mining — Coal mining,21,.4,4,19.0,0,0,11,52.4,6,28.6,,,,
Mining — Crude petroleum and natural gas production,17,.3,4,23.5,5,29.4,0,0,8,47.1,,,767,
Mining — Nonmetallic mining and quarrying,26,.5,5,19.2,12,46.2,0,0,12,46.2,,,3623,
Construction — total,86,1.5,64,74.4,0,0,9,10.5,13,15.1,5608,1.0,5758,1.1
Wholesale trade,498,9.0,270,54.2,53,10.6,8,1.6,169,33.9,20376,3.5,16855,3.3
Retail trade,565,10.2,192,34.0,33,5.8,157,27.8,180,31.9,22396,3.8,20378,3.9
"Finance, insurance, and real estate",60,1.1,20,33.3,4,6.7,5,8.3,31,51.7,9094,1.5,8109,1.6
"Transportation, communication, and other public utilities — total",499,9.0,275,55.1,44,8.8,32,6.4,148,29.7,58286,9.9,60303,
Transp/comm — Highway passenger transportation,84,1.2,37,57.8,7,10.9,,,20,31.3,9898,1.7,1876,
Transp/comm — Highway freight transportation,99,1.8,65,65.7,1,1.0,10,10.1,23,23.2,,,1876,
Transp/comm — Water transportation,78,1.4,39,50.0,9,11.5,13,16.7,17,21.8,,,,
Transp/comm — Warehousing and storage,76,1.4,44,57.9,9,11.8,,,23,30.3,,,,
Transp/comm — Other transportation,22,.4,13,59.1,,,,,9,40.9,,,,
Transp/comm — Communications,30,.5,16,53.3,5,16.7,,,9,30.0,,,24758,
"Transp/comm — Heat, light, power, water, and sanitary services",84,1.5,48,57.1,10,11.9,0,0,26,31.0,,,,
Services,138,2.5,52,37.7,30,21.7,24,17.4,32,23.2,7168,1.2,6202,1.2
