row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
Other national unions…………………,89,66.3,59,,59,,30,5393,2787,,2787,,2606
AFL-CIO...............................................,1918,54.6,1047,1045,2,,871,134085,60598,60517,81,,73487
Other local unions..................................,108,62.0,67,,1,66,41,5597,3069,,90,2979,2528
1-union elections...............................,2115,55.5,1173,1045,62,66,942,145075,66454,60517,2958,2979,78621
National v. Local...................................,5,100.0,5,,3,2,0,1933,1933,,1834,99,0
National v. National...............................,8,75.0,6,,6,,2,714,552,,552,,162
Local v. Local........................................,6,100.0,6,,,6,0,887,887,,,887,0
AFL-CIO v. National............................,20,85.0,17,5,12,,3,2445,2331,418,1913,,114
AFL-CIO v. AFL-CIO.........................,78,71.8,56,56,,,22,6128,4318,4318,,,1810
AFL-CIO v. Local.................................,22,95.5,21,12,,9,1,2343,2287,1525,,762,56
2-union elections...............................,139,79.9,111,73,21,17,28,14450,12308,6261,4299,1748,2142
AFL-CIO v. AFL-CIO v. AFL-CIO…,1,0.0,0,0,,,1,216,0,0,,,216
AFL-CIO v. AFL-CIO v. AFL-CIO v. AFL-CIO...............................................,1,0.0,0,0,,,1,939,0,0,,,939
AFL-CIO v. AFL-CIO v. National......,2,50.0,1,0,1,,1,79,56,0,56,,23
AFL-CIO v. Local v. Local..................,2,100.0,2,1,,1,0,220,220,110,,110,0
Local v. Local v. Local..........................,2,100.0,2,,,2,0,94,94,,,94,0
3 (or more)-union elections...............,8,62.5,5,1,1,3,3,1548,370,110,56,204,1178
Total RC elections.............................,2262,57.0,1289,1119,84,86,973,161073,79132,66888,7313,4931,81941
