Division and State,Total elections,Elections won by unions: Total,AFL-CIO unions,Teamsters,Other national,Other local,Other(?),col_8,Total eligible,Total valid votes cast,Votes for unions Total,AFL-CIO,Teamsters,Other national,Other local,Votes for no union,Eligible employees in units choosing representation
"Total, All States and areas",7776,4680,3017,1179,309,173,5,3096,544538,491453,395609,226235,36883,32902,29459,184734,333545
New England (division subtotal),461,288,175,78,11,24,,173,35384,32194,17970,13821,2055,1310,784,14179,17643
"New England states (Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut)",,,,,,,,,,,,,,,,,
Middle Atlantic (division subtotal),1282,779,596,162,82,27,,504,74748,68690,42003,23686,7623,6042,5230,20096,41077
Middle Atlantic states (New York 506/...; New Jersey 302/...; Pennsylvania 474/...),,,,,,,,,,,,,,,,,
East North Central (division subtotal),1833,1196,763,304,62,33,,734,139108,125338,82053,54835,9683,9186,9562,43278,90049
"East North Central states (Ohio, Indiana, Illinois, Michigan, Wisconsin)",,,,,,,,,,,,,,,,,
West North Central (division subtotal),777,495,327,137,19,12,,282,37182,33725,20946,15468,2904,2660,1344,10909,23443
"West North Central states (Iowa, Minnesota, Missouri, North Dakota, South Dakota, Nebraska, Kansas)",,,,,,,,,,,,,,,,,
