row_label,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases (UD),Amendment of certification cases (AC),Unit clarification cases (UC)
Mining (subtotal),740,591,463,109,14,4,0,0,1,141,121,7,13,0,1,7
Construction,4797,4236,1599,1072,1011,241,59,0,254,546,365,140,41,4,0,11
Wholesale trade,2643,1701,1310,322,44,7,1,0,19,891,650,63,178,27,1,21
Retail trade,5189,3534,2738,645,85,5,13,0,92,1558,1098,152,218,50,5,26
"Finance, insurance, and real estate",815,558,434,90,19,5,6,0,4,246,219,5,22,4,1,5
U.S. Postal Service,1330,1325,1082,302,0,0,0,0,4,5,5,0,0,0,0,0
Local and suburban transit and interurban highway passenger transportation,634,495,392,91,1,5,1,0,2,156,121,5,21,9,2,0
Motor freight transportation and warehousing,3990,2983,2154,641,145,15,1,0,21,972,762,52,158,16,4,15
Communication,1119,779,569,167,10,4,0,0,0,321,276,9,36,0,4,15
"Transportation, communication, and other utilities (subtotal)",7352,5418,3943,1222,233,35,14,0,34,1777,1446,81,250,38,12,44
"Hotels, rooming houses, camps, and other lodging places",902,696,512,150,20,4,2,0,8,190,157,14,19,11,1,4
Health services,2755,1743,1389,247,19,1,1,0,5,947,866,17,60,33,6,16
Educational services,454,249,213,33,3,0,0,0,1,171,156,5,8,6,8,18
Services (subtotal),7977,5086,4033,1047,166,33,15,0,50,2431,2032,116,288,61,24,89
Public administration,56,42,32,8,0,0,0,0,0,14,11,0,0,0,0,0
"Total, all industrial groups",54907,41259,29026,9157,1947,421,128,0,530,12905,10333,779,1783,380,64,349
