Stage and method of disposition,All C cases / Number,All C cases / Percent,CA cases / Number,CA cases / Percent,CB cases / Number,CB cases / Percent,CC cases / Number,CC cases / Percent,CD cases / Number,CD cases / Percent,CE cases / Number,CE cases / Percent,CP cases / Number,CP cases / Percent
Total number of cases closed,15074,100.0,10189,100.0,2958,100.0,1154,100.0,328,100.0,49,100.0,396,100.0
Before issuance of complaint,13077,86.8,8657,84.9,2724,92.1,981,85.0,317,96.7,35,71.5,363,91.7
Before issuance of complaint — Adjusted/Withdrawn/Dismissed/10(k) decision,,,,,,,,,,,,,,
"After issuance of complaint, before opening of hearing",870,5.8,676,6.6,81,2.7,90,7.8,3,.9,7,14.3,13,3.3
"After hearing opened, before issuance of trial examiner's decision",115,.8,98,1.0,14,.5,3,.3,0,.0,0,.0,0,.0
"After trial examiner's decision, before issuance of Board decision",109,.7,89,.9,16,.5,3,.3,0,.0,0,.0,0,.0
After Board order adopting trial examiner's decision in absence of exceptions,75,.5,48,.5,23,.8,0,.0,0,.0,0,.0,0,.0
Remaining stages + method,,,,,,,,,,,,,,
