Method and stage of disposition,All cases Number,All cases Pct of total closed,All cases Pct of total method,CA cases Number,CA cases Pct of total closed,CB cases Number,CB cases Pct of total closed,CC cases Number,CC cases Pct of total closed,CD cases Number,CD cases Pct of total closed,CE cases Number,CE cases Pct of total closed,CP cases Number,CP cases Pct of total closed
Circuit court of appeals decree,328,1.9,33.6,290,2.5,16,0.4,7,0.5,10,2.0,1,2.7,4,0.8
Supreme Court action,51,0.3,5.2,38,0.3,8,0.2,4,0.3,0,0,0,0,1,0.2
Withdrawal,6734,37.9,100.0,4244,36.0,1886,38.6,439,32.7,2,0,,,163,33.2
Withdrawal,,,,,,,,,,,,,,,
Dismissal,5638,31.7,100.0,3694,31.4,1510,47.1,229,16.3,1,0,18,48.7,176,35.8
Dismissal,,,,,,,,,,,,,,,
10(k) actions (see table 7A for details of dispositions),451,2.5,,,,,,,,451,95.0,,,,
Otherwise (compliance with order of trial examiner or Board not achieved — firms went out of business),,,,,,,,,,,,,,,
