Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections in which representation rights were won by unions — AFL-CIO unions,Number of elections in which representation rights were won by unions — Other national unions,Number of elections in which representation rights were won by unions — Other local unions,Number of elections in which no representation chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes for unions — Total,Valid votes for unions — AFL-CIO unions,Valid votes for unions — Other national unions,Valid votes for unions — Other local unions,Total votes for no union,Total employees in units choosing representation
New England Division — subtotal,181,85,74,4,7,96,10272,9527,4541,3656,353,532,4986,4221
Middle Atlantic Division — subtotal,659,339,282,20,37,320,42728,36673,18460,14649,1057,2754,17815,18213
East North Central Division — subtotal,822,350,323,12,15,472,43484,39040,17646,16500,530,602,21394,19584
West North Central Division — subtotal,369,173,151,11,11,196,18769,16546,7405,7342,6,57,9141,7506
