Method and stage of disposition,All R cases — Number of cases,All R cases — Percent of cases closed,RC cases — Number of cases,RC cases — Percent of cases closed,RM cases — Number of cases,RM cases — Percent of cases closed,RD cases — Number of cases,RD cases — Percent of cases closed
Total number of cases closed,7403,100.0,6352,100.0,599,100.0,452,100.0
Consent election,1772,23.9,1607,25.3,103,17.2,62,13.7
Consent election — Before notice of hearing,1305,17.6,1189,18.7,79,13.2,37,8.2
"Consent election — After notice of hearing, before hearing opened",357,4.8,323,5.1,20,3.3,14,3.1
"Consent election — After hearing opened, before Board decision",110,1.5,95,1.5,4,.7,11,2.4
Stipulated election,1488,20.1,1390,21.9,68,11.3,30,6.6
Stipulated election — Before notice of hearing,852,11.5,802,12.6,35,5.8,15,3.3
"Stipulated election — After notice of hearing, before hearing opened",410,5.5,378,6.0,22,3.7,10,2.2
"Stipulated election — After hearing opened, before Board decision",110,1.5,101,1.6,6,1.0,3,.7
Stipulated election — After postelection decision,116,1.6,109,1.7,5,.8,2,.4
Withdrawn,1921,25.9,1547,24.3,201,33.6,173,38.3
Withdrawn — Before notice of hearing,1192,16.1,941,14.8,130,21.7,121,26.8
"Withdrawn — After notice of hearing, before hearing opened",480,6.5,393,6.2,47,7.9,40,8.9
"Withdrawn — After hearing opened, before Board decision",131,1.7,103,1.6,17,2.8,11,2.4
Withdrawn — After Board decision and direction of election,118,1.6,110,1.7,7,1.2,1,.2
Dismissed,915,12.4,659,10.4,136,22.7,120,26.6
Dismissed — Before notice of hearing,559,7.6,399,6.3,79,13.2,81,17.9
"Dismissed — After notice of hearing, before hearing opened",71,1.0,43,.7,20,3.3,8,1.8
Dismissed — By Board decision,261,3.5,199,3.1,33,5.5,29,6.4
Board-ordered election,1307,17.7,1149,18.1,91,15.2,67,14.8
