row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO……………………………..,3144,48.3,1519,1519,,,1625,201126,85709,85709,,,115417
National………….....………………....,69,53.6,37,,37,,32,4028,1593,,1593,,2435
Local………………….…………….…,255,57.6,147,,,147,108,18387,8069,,,8069,10318
1-union elections……………….,3468,49.1,1703,1519,37,147,1765,223541,95371,85709,1593,8069,128170
AFL-CIO v. AFL-CIO………………..,33,81.8,27,27,,,6,5088,4277,4277,,,811
AFL-CIO v. National…………...….....,12,100.0,12,8,4,,0,1654,1654,1321,333,,0
AFL-CIO v. Local………………….…,56,94.6,53,37,,16,3,7490,6639,4444,,2195,851
National v. Local……………………..,3,100.0,3,,2,1,0,326,326,,288,38,0
Local v. Local………………………...,12,100.0,12,,,12,0,1222,1222,,,1222,0
2-union elections ……....……….,116,92.2,107,72,6,29,9,15780,14118,10042,621,3455,1662
AFL-CIO v. AFL-CIO v. Local…….....,1,100.0,1,1,,0,0,2802,2802,2802,,0,0
3 (or more)-union elections .……,1,100.0,1,1,0,0,0,2802,2802,2802,0,0,0
Total representation elections ….,3585,50.5,1811,1592,43,176,1774,242123,112291,98553,2214,11524,129832
