row_label,Fiscal year 2002 — Number of proceedings — Total,Fiscal year 2002 — Number of proceedings — Vs employers only,Fiscal year 2002 — Number of proceedings — Vs unions only,Fiscal year 2002 — Number of proceedings — Vs both employers and unions,Fiscal year 2002 — Number of proceedings — Board dismissal,Fiscal year 2002 — Percentages — Vs employers only,Fiscal year 2002 — Percentages — Vs unions only,Fiscal year 2002 — Percentages — Vs both employers and unions,Fiscal year 2002 — Percentages — Board dismissal,"July 5, 1936 to Sept. 30, 2002 — Number","July 5, 1936 to Sept. 30, 2002 — Percent"
Proceedings decided by U.S. courts of appeals,117,110,7,0,0,,,,,11572,100.0
On proceedings for review and/or enforcement,105,102,3,0,0,100.0,100.0,,,7633,66.0
Board orders affirmed in full,65,63,2,0,0,61.8,66.7,,,5033,43.5
Board orders set aside,23,22,1,0,0,21.6,33.3,,,1572,13.5
Proceedings decided by U.S. Supreme Court,2,2,0,0,0,,,,,259,100.0
