row_label,Method and stage of disposition,All C cases - Number,All C cases - Percent of total closed,All C cases - Percent of total method,CA cases - Number,CA cases - Percent of total closed,CB cases - Number,CB cases - Percent of total closed,CC cases - Number,CC cases - Percent of total closed,CD cases - Number,CD cases - Percent of total closed,CE cases - Number,CE cases - Percent of total closed,CP cases - Number,CP cases - Percent of total closed
Total number of cases closed,19851,100.0,,12815,100.0,4319,100.0,1491,100.0,673,100.0,83,100.0,470,100.0,
Agreement of parties,4834,24.3,100.0,3185,24.9,879,20.4,568,18.7,,,13,15.7,139,29.6,
Informal settlement,4645,23.4,95.1,3085,24.1,774,17.9,646,43.3,1,0,13,15.7,126,,
Formal settlement,189,1.0,,100,.8,34,.8,42,2.8,,,,,13,,
Compliance,995,5.0,100.0,839,6.4,89,2.1,59,4.0,,,,,,,
,various,,,,,,,,,,,,,,,
