row_label,Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections in which representation rights were won by unions — AFL-CIO unions,Number of elections in which representation rights were won by unions — Teamsters,Number of elections in which representation rights were won by unions — Other national unions,Number of elections in which representation rights were won by unions — Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO unions,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Total votes for no union,Eligible employees in elections in which representative chosen
South Atlantic (subtotal),56,24,21,0,3,0,32,4140,1597,1200,0,26,75,0,2540,1857,
East South Central (subtotal — KY/TN/AL/MS),41,9,5,0,4,0,32,4260,3725,1818,633,0,0,0,1185,2090,
West South Central (subtotal — AR/LA/OK/TX),45,17,13,1,0,3,28,2688,2406,1206,994,107,0,113,1256,1235,
