row_label,Industrial group,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Teamsters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representation rights were won,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no union,Total eligible employees in elections choosing representation
Food and kindred products,451,233,118,76,27,12,218,27045,23918,11929,6090,3578,1063,633,11989,11877,
Tobacco manufactures,1,1,1,,,,0,,,,,,,,,,
Industrial-by-SIC,,,,,,,,,,,,,,,,,
Manufacturing,3742,1730,1037,441,180,72,2012,340647,307076,142150,96219,20738,19360,5833,155626,166203,
