Participating unions,Total elections,Percent won,Elections won by unions — Total,Elections won by unions — AFL-CIO,Elections won by unions — Other national unions,Elections won by unions — Other local unions,Elections in which no representation chosen,Employees eligible to vote — Total,In elections won by unions — Total,In elections won by unions — AFL-CIO,In elections won by unions — Other national unions,In elections won by unions — Other local unions,In elections when no representation chosen
B. Elections in RC cases — 1-union elections — AFL-CIO,2656,48.9,1300,1300,,,79,166623,61745,61745,,,104878
B. Elections in RC cases — Total RC elections,2991,,1524,1368,63,93,1453,203674,85001,74954,3577,6471,118673
C. Elections in RM cases — 1-union elections — AFL-CIO,56,23.2,13,13,,,43,4140,733,733,,,3407
