row_label,col_1,col_2,col_3,col_4,col_5,col_6
1936,1068,865,203,734,636,98
1937,4068,2895,1173,2322,1751,571
1938,10430,6807,3623,8799,5694,3105
1939,6904,4618,2286,6569,4230,2339
1940,6177,3934,2243,7354,4664,2690
1941,9151,4817,4334,8396,4698,3698
1942,10977,4967,6010,11741,5456,6285
1943,9544,3403,6141,9782,3854,5928
1944,9176,2573,6603,9197,2650,6507
1945,9738,2427,7311,9102,2312,6790
1946,12260,3815,8445,10892,2911,7981
Total,89493,41121,48372,".84,888",38896,45992
,Cases on docket,Cases on docket,Cases on docket,"Cases pending, end of period","Cases pending, end of period","Cases pending, end of period"
1936,1068,865,203,334,229,105
1937,4402,3124,1278,2080,1373,707
1938,12510,8180,4330,3711,2486,1225
1939,10615,7104,3511,4046,2874,1172
1940,10223,6808,3415,2869,2144,725
1941,12020,6961,5059,3628,2283,1161
1942,14601,7230,7371,2860,1774,1086
1943,12404,5177,7227,2622,1323,1299
1944,11798,3896,7902,2601,1206,1395
1945,12339,3633,8706,3237,1321,1916
1946,15497,5136,10361,4605,2225,2380
