Method and stage of disposition,Number of cases,Percent of total closed
Total number of cases closed before issuance of complaint,138,100.0
Agreement of the parties-informal settlement,53,38.4
Agreement of the parties-informal settlement — Before 10(k) notice,39,28.3
"Agreement of the parties-informal settlement — After 10(k) notice, before opening of 10(k) hearing",13,9.4
"Agreement of the parties-informal settlement — After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",1,0.7
Agreement of the parties-informal settlement — After Board decision and determination of dispute,0,0.0
Compliance with Board decision and determination of dispute,3,2.2
Withdrawal,55,39.9
Withdrawal — Before 10(k) notice,53,38.4
"Withdrawal — After 10(k) notice, before opening of 10(k) hearing",2,1.4
"Withdrawal — After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",0,0.0
Withdrawal — After Board decision and determination of dispute,0,0.0
Dismissal,27,19.6
Dismissal — Before 10(k) notice,20,14.5
"Dismissal — After 10(k) notice, before opening of 10(k) hearing",7,5.1
"Dismissal — After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",0,0.0
Dismissal — By Board decision and determination of dispute,0,0.0
