row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
,,0cM000,", C .1",MNWN,0,0200.0,M,Mg.ON,4,0000 .,0 m . M
t. 0 . 0mr .,0 .,.M0.. 1 .,0,0000,N,000.00,,00.00 .,. . 0000,",",. =
":.1', ,,,,aN",Cl,"0,.",to,"..,.",to,.010000,CO,04.00 *,00071,g,g cv
222RSA,gi .,"'''74""A",g,"g""S'"" '",,"c4,0oO0",g,00g0. . n,,1-1,v-1 .■i
2F4Vr= 1,6 .,"-""'""14",6,t-c'eN'r,Cl,"0 -""''''",S,"""g""°c"" . Cl N","'-'""S",g,§
".a.,c'R92. mNma,,46.",'' S a,2P g 8 c g . .,"6 ,",At1S .,g 3 m,ASAS25 .,g m,",V,28°""6 ... 4","2 , 4 SA g §",g,1F3 4
6SNR8g,6 a,"F-5,8N",N,- gg -4,g,V g 4A gg,2,A g AN 4,8 s2Rg,g,R a
2744mg.,R,"m,,,,, , ,2,",4,00g0,g,o.0..o,co,"0-o00/,",8 . m._ 94,2,8 m
NOOONN,,"000.,",to,00..,Cl,000000,0,0000,o . 0000,0,8
,,0010..,,00.0,,...coo,Cl,m2.00 4,oo.m,,g
", o 2,2 1C 2.",g,. 74 ..g,;•,I000g0,g,mm..om,to,mgmoo g,0m0 ;4,g,§
226 g 5A .,,.4n4,P .,"n , 45=",4 .-1,MIII N01 4',S,"""""°' mg. . c' 4","''',56",A .,"to 8 ,i"
g U9a,S,AMIS . §,,1144g,,00004,A,gRg-g,"to 9 .,2",fi',g
"N,..mm 42521 : KA I-7 v-4 . . "" ,-t",. A,"gc;g7, g.: .N..0",n o .-7,"..,. ,==''",2 •-■ .4.,"8 ,. g 84 Cg """,. 2,"82gmm .,. g ,4' . a","c',.. ''.94","g ,",. S e IN
'inn@ a44 4,E a,EEnd 4,a,EP'-' . .. 4,"8 , 4",""" ..02",",","3'11, -eql cc9N M r N . a",M% 'I t ' . Mo,c'8 . 4,R 4 M
"' ..82M, vi.W Cl",4,"M'c'24 ,, 4",m a,"NON g. ,,,:' 4",M g Cl,"ONMcm,r. 8F4m,m.","0 m ,-7","M. MO ,o1.. , 0 . 0,",0MO c'..E,",.-",CI '
",2a§ 21 0Ag 4ggOW","g T° , g","g 24,2 1,15F4",,,,,,",5",,,
