row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
Declined,1958,1958,476,1.357,0,57,68,,,,,,
Employees placed on pref- erential hiring list,937 16,937,620,219,0,90,8,0 16,0 16,0,0 0,0,0 0
Hiring hall rights restored Objections to employment,3,,,,,,,3,3,0,0,0,0
withdrawn Employees receiving backpay: From either employer or,26197,26042,14786,6239,163,2868,1986,155,146,2,0,7,0
union From both employer and union,,,,0,0,0,0,49,49,0,0,0,0
"Employees reimbursed for fees, dues, and fines",89,40,40,0,0,,,,,,,12,
From either employer or union From both employer and,2311,1763,1.095,,,50,618,548,535,0,0,,
"C. By amounts of monetary re- covery, total",61530718,61060345,29696600,15000604,54367,8047434,8261340,470373,339549,11696,$O,85192,33936
"Backpay (includes all mone- tary payments except fees, dues, and fines)",60272725,59883258,29132127,14972242,54367,7988383,7736139,389467,318274,"11,6%",0,59497,0
"Reimbursement of fees, dues and fines",1257993,1177087,564473,28.362,0,59051,525201,80906,21275,0,0,25695,33936
