row_label,col_1,col_2
CHAPTER,CHAPTER,PAGE
I.,Operations mFiscal Year 1986,1
,A Summary,1
,NLRB Administration,2
,B Operational Highlights,4
,1. Unfair Labor Practices,4
,2. Representation Cases,10
,3. Elections,11
,4. Decisions Issued,13
,a. The Board,13
,b. Regional Directors,16
,c. Administrative Law Judges.,16
,5. Court Litigation,16
,a. Appellate Courts.,16
,b. The Supreme Court.,16
,c. Contempt Actions,18
,d. Miscellaneous Litigation,18
,e. Injunction Activity.,18
,C. Decisional Highlights,19
,1. Junsdiction of the Board,19
,2. Use of Temporary Replacements in a Lawful Lockout,20
,3 Interrogation and Discharge in a Maritime Setting,22
,4 Merger of Multdocation Bargaining Units,22
,5. Financial Core Membership,23
,DFinancial Statement,24
II.,Junsdiction of the Board,25
,A. Residential Condommums and Cooperatives,26
,B Exempt Entity Issues,27
,"C. Nonprofit, Chantable Institution.",29
,D. Education or Retail Entity,30
III.,Board Procedure .,33
,A. Limitation of Section 10(b),33
,B. Language of the Charge .,34
,C. Conduct of Counsel at Tnal,35
,D. Alleged Failure of Service,36
,"E. ""Party"" to Proceeding",37
,"F. Effect of Unappealed ""R"" Case",38
IV,Representation Proceedings,41
,A. Unit Issues,41
,"1. Status as ""Employee""",41
,2. Health Care Unit,44
,3. Merged Unit,45
,4. Multiemployer Unit,47
,B. Election Objections,48
,1. Threats of Violence,49
,2. Alleged Union Misconduct,50
