row_label,Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Individuals,Employers
"CA cases - Pending July 1, 1969",5155,2835,612,298,179,1219,12
CA cases - Received fiscal 1970,13501,5822,1634,658,373,5096,18
CA cases - On docket fiscal 1970,18756,8657,2246,966,552,6315,30
CA cases - Closed fiscal 1970,12815,5520,1596,648,355,4694,12
"CA cases - Pending June 30, 1970",5941,3137,650,318,197,1621,18
"CB cases - Pending July 1, 1969",1165,50,13,6,17,803,276
CB cases - Received fiscal 1970,4631,54,21,14,23,3567,952
CB cases - On docket fiscal 1970,5796,104,34,20,40,4370,1228
CB cases - Closed fiscal 1970,4319,60,25,11,22,3334,867
"CB cases - Pending June 30, 1970",1477,44,9,9,18,1036,361
"CC cases - Pending July 1, 1969",411,1,2,5,11,10,382
CC cases - Received fiscal 1970,1596,9,1,45,33,62,1446
CC cases - On docket fiscal 1970,2007,10,3,50,44,72,1828
CC cases - Closed fiscal 1970,1491,10,3,40,28,56,1354
"CC cases - Pending June 30, 1970",516,0,0,10,16,16,474
"CD cases - Pending July 1, 1969",188,5,1,1,3,2,176
CD cases - Received fiscal 1970,694,28,3,1,2,23,632
CD cases - On docket fiscal 1970,882,33,4,2,5,25,808
CD cases - Closed fiscal 1970,673,21,4,1,7,24,615
"CD cases - Pending June 30, 1970",209,12,0,1,0,1,193
"CE cases - Pending July 1, 1969",30,1,,,1,3,26
CE cases - Received fiscal 1970,107,1,10,,3,3,90
CE cases - On docket fiscal 1970,137,1,10,,4,6,116
CE cases - Closed fiscal 1970,83,1,10,,2,3,67
"CE cases - Pending June 30, 1970",54,0,0,,2,3,49
"CP cases - Pending July 1, 1969",140,3,1,2,36,5,93
CP cases - Received fiscal 1970,409,2,1,2,5,8,375
CP cases - On docket fiscal 1970,549,5,2,4,44,23,468
CP cases - Closed fiscal 1970,470,3,2,1,42,19,401
"CP cases - Pending June 30, 1970",79,2,1,3,8,4,62
