Type of case,Total elections,Type of Election / Consent,Type of Election / Stipulated,Type of Election / Board ordered,Type of Election / Regional director directed,Type of Election / Expedited elections under 8(b)(7)(C)
"All cases — All elections, total",7141,3384,1929,142,1653,33
"All cases — Eligible voters, total",506507,166394,177760,29299,131860,1284
"All cases — Valid votes, total",456519,150429,163629,24828,116553,1080
RC cases — Total,6512,3085,1820,133,1468,6
RC cases — Eligible voters,468116,152982,166626,27768,120640,100
RC cases — Valid votes,423302,138300,153691,23654,107493,164
RM cases — Total,359,177,68,7,80,27
RM cases — Eligible voters,21249,9160,5430,952,4623,1084
RM cases — Valid votes,18667,8265,4925,800,3761,916
RD cases — Total,225,115,38,2,70,0
RD cases — Eligible voters,13256,4068,5457,489,3242,0
RD cases — Valid votes,11648,3714,4779,374,2781,0
UD cases — Total,45,7,3,0,35,0
UD cases — Eligible voters,3886,184,347,0,3355,0
UD cases — Valid votes,2902,150,234,0,2518,0
