Category,Objections filed,Objections withdrawn,Objections ruled upon,Overruled / Number,Overruled / Percent of total ruled upon,Sustained / Number,Sustained / Percent of total ruled upon
All representation elections,1322,321,1001,722,72.1,279,27.9
By type of case (section header),,,,,,,
RC cases,1246,307,939,675,71.9,264,28.1
RM cases,49,7,42,31,73.8,11,26.2
RD cases,27,7,20,16,80.0,4,20.0
By type of election (section header),,,,,,,
Consent elections,224,73,151,88,58.3,63,41.7
Stipulated elections,662,165,497,376,75.7,121,24.3
Expedited elections,4,0,4,4,100.0,0,
Regional director-directed elections,411,79,332,241,72.6,91,27.4
Board-directed elections,21,4,17,13,76.5,4,23.5
