row_label,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections in which representation rights were won by unions — AFL-CIO unions,Number of elections in which representation rights were won by unions — Teamsters,Number of elections in which representation rights were won by unions — Other national unions,Number of elections in which representation rights were won by unions — Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Total votes for no union,Eligible employees in unions winning representation
New England (regional subtotal),302,128,73,33,1,21,174,21941,19266,7884,4381,1094,232,2191,,11365
Middle Atlantic (regional subtotal),989,417,243,94,25,55,522,52703,44078,22270,14884,2481,2058,3917,,28266
East North Central (regional subtotal),1125,425,266,117,9,33,654,53448,46445,21294,14182,4389,1257,1255,,25151
West North Central (regional subtotal),386,161,91,59,2,9,225,19521,17364,8054,5240,2018,8,1188,,8910
