Affiliation of union holding union-shop contract,Number of polls / Total,Number of polls / Resulting in deauthorization / Number,Number of polls / Resulting in deauthorization / Percent of total,Number of polls / Resulting in continued authorization / Number,Number of polls / Resulting in continued authorization / Percent of total,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / Resulting in deauthorization / Number,Employees involved (number eligible to vote) / Resulting in deauthorization / Percent of total,Employees involved (number eligible to vote) / Resulting in continued authorization / Number,Employees involved (number eligible to vote) / Resulting in continued authorization / Percent of total,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for deauthorization / Number,Valid votes cast / Cast for deauthorization / Percent of total eligible 1
Total,14,9,64.3,5,35.7,1004,695,69.2,309,30.8,769,76.6,521,51.9
AFL-CIO,11,7,63.6,4,36.4,960,684,71.3,276,28.7,741,77.2,497,51.8
Unaffiliated,3,2,66.7,1,33.3,44,11,25.0,33,75.0,28,63.6,24,54.5
